window,pipeline_detected,center_offset_px,orientation_deg,direction,bubble_activity,suspicion_score,plume_detected,plume_centroid_x,plume_centroid_y,probable_source_x,probable_source_y,propagation_direction
1,0,0.0,0.0,UNKNOWN,0,0.00,0,,,,,NONE
2,0,0.0,0.0,UNKNOWN,0,0.00,0,,,,,NONE
3,0,0.0,0.0,UNKNOWN,0,0.00,0,,,,,NONE
4,1,12.0,-4.2,LEFT,1,0.16,0,,,,,NONE
5,1,10.1,-3.8,LEFT,1,0.18,0,,,,,NONE
6,1,-2.3,0.7,STRAIGHT,1,0.14,0,,,,,NONE
7,1,-1.0,0.3,STRAIGHT,1,0.11,0,,,,,NONE
8,1,-9.1,2.8,RIGHT,1,0.13,0,,,,,NONE
9,1,-4.2,1.0,STRAIGHT,1,0.10,0,,,,,NONE
10,1,-3.0,0.5,STRAIGHT,1,0.09,0,,,,,NONE
