window,pipeline_detected,center_offset_px,orientation_deg,direction,bubble_activity,suspicion_score,plume_detected,plume_centroid_x,plume_centroid_y,probable_source_x,probable_source_y,propagation_direction
1,1,-4.0,1.1,STRAIGHT,1,0.10,0,,,,,NONE
2,1,-5.1,1.8,STRAIGHT,1,0.21,0,,,,,NONE
3,1,-8.2,3.0,RIGHT,1,0.44,0,,,,,NONE
4,1,-10.4,4.2,RIGHT,1,0.67,0,,,,,NONE
5,1,-13.5,5.3,RIGHT,1,0.78,1,325,270,318,440,UP
6,1,-15.0,5.8,RIGHT,1,0.84,1,326,268,318,439,UP-RIGHT
7,1,-14.0,5.2,RIGHT,1,0.89,1,327,266,318,438,UP-RIGHT
8,1,-11.0,4.0,STRAIGHT,1,0.92,1,328,264,318,438,UP-RIGHT
9,1,-9.0,3.1,STRAIGHT,1,0.94,1,329,263,318,437,UP-RIGHT
10,1,-7.0,2.0,STRAIGHT,1,0.95,1,330,262,318,437,UP-RIGHT
